genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Blues,Lebrado,Let's Party (feat. Bruce Billups),48dix9ZPTkCKuBLGzpEihf,19,0.00424,0.792,202909,0.693,1.1e-05,G,0.0575,-7.457,Minor,0.0342,110.008,4/4,0.777
Jazz,Brad Mehldau Trio,Bee Blues,6keKDGemOj5o7VJHNVaeYl,40,0.804,0.573,402013,0.271,0.8,F#,0.0877,-16.138,Major,0.0489,130.623,4/4,0.464
Ska,"Lee ""Scratch"" Perry",Having A Party,1YAXrOLk7EGfv1tlSnGOqi,53,0.405,0.739,280960,0.758,5.18e-05,F,0.0808,-6.418,Minor,0.103,92.878,4/4,0.787
Indie,Arctic Monkeys,Old Yellow Bricks,3BcQFPRZuuUClWStz29WjN,55,0.000185,0.663,187133,0.839,4.65e-06,C,0.0808,-4.453,Major,0.0695,135.155,4/4,0.75
Electronic,Malaa,Bling Bling (Matroda Remix),3jY1g4RkZrvrQaD98Vr7Iq,32,0.00721,0.826,280655,0.886,0.13,F,0.125,-3.915,Major,0.0711,124.038,4/4,0.357
R&B,RAYE,Decline,4qCc2AVDeJYIpAHi9AX1N0,63,0.167,0.675,188172,0.932,0.0,F,0.0932,-2.337,Minor,0.0551,115.924,4/4,0.524
Rap,Chris Brown,Tempo,0709StHzSeXpdj2zmqF2o2,67,0.192,0.769,218744,0.482,0.0,A#,0.0903,-7.205,Major,0.0502,120.959,4/4,0.487
Electronic,New Order,Round And Round,6sKUIDaEBhWa9WrPgqQMCC,25,0.0106,0.685,269813,0.924,0.341,C,0.167,-5.833,Major,0.0446,129.015,4/4,0.751
Folk,Houndmouth,Honey Slider,0fFJb0OtNs1mybCvh5xlvl,49,0.00061,0.314,216028,0.616,0.000425,G#,0.126,-7.271,Major,0.0344,127.56,4/4,0.546
Pop,The Lumineers,Stubborn Love,3ekNuTF3UpOvIZCfiejpnC,66,0.607,0.598,279000,0.56,0.0432,C,0.196,-11.679,Major,0.0375,115.01,4/4,0.221
Jazz,Ismael Rivera Y Sus Cachimbos,El Nazareno,4jMLowuEdyL0GQhgyc6OXM,39,0.143,0.69,337200,0.683,0.000144,G#,0.328,-6.903,Major,0.0523,89.826,4/4,0.961
Dance,Demi Lovato,"This is Our Song - From ""Camp Rock 2: The Final Jam""",6SyPnh5ysbRjmZHIlOKp4r,55,0.0892,0.356,178200,0.611,0.0,G,0.178,-5.312,Major,0.0357,129.385,4/4,0.393
Jazz,A Tribe Called Quest,Can I Kick It? - J. Cole Remix,0GmhAVyyHwaX6jfCbPmaoB,46,0.434,0.903,169373,0.423,1.49e-06,B,0.0859,-5.829,Major,0.235,96.612,4/4,0.512
